odime, MAMAMeasurement, OSISInternalSetpoint, OCOCOControllerOutput
000:48:59.00,49.6411,50,44.4603
000:48:59.00,49.6178,50,44.4312
000:49:00.00,49.6022,50,44.4118
000:49:00.00,49.5829,50,44.3875
000:49:01.00,49.5703,50,44.3714
000:49:01.00,49.5547,50,44.3515
000:49:02.00,49.5445,50,44.3384
000:49:02.00,49.5321,50,44.3222
000:49:03.00,49.5241,50,44.3117
000:49:03.00,49.5143,50,44.2985
000:49:04.00,49.508,50,44.29
000:49:04.00,49.5003,50,44.2793
000:49:05.00,49.4953,50,44.2724
000:49:05.00,49.4893,50,44.2637
000:49:06.00,49.4854,50,44.258
000:49:06.00,49.4806,50,44.2507
000:49:07.00,49.4774,50,44.246
000:49:07.00,49.4736,50,44.2399
000:49:08.00,49.4711,50,44.2358
000:49:08.00,49.4679,50,44.2305
000:49:09.00,49.4659,50,44.227
000:49:09.00,49.4633,50,44.2224
000:49:10.00,49.4616,50,44.2193
000:49:10.00,49.4594,50,44.2152
000:49:11.00,49.458,50,44.2124
000:49:11.00,49.4561,50,44.2086
000:49:12.00,49.4549,50,44.2061
000:49:12.00,49.4533,50,44.2026
000:49:13.00,49.4522,50,44.2002
000:49:13.00,49.4508,50,44.1969
000:49:14.00,49.4498,50,44.1947
000:49:14.00,49.4485,50,44.1916
000:49:15.00,49.4477,50,44.1895
000:49:15.00,49.4465,50,44.1865
000:49:16.00,49.4457,50,44.1845
000:49:16.00,49.4447,50,44.1817
000:49:17.00,49.4439,50,44.1797
000:49:17.00,49.443,50,44.1769
000:49:18.00,49.4423,50,44.175
000:49:18.00,49.4414,50,44.1724
000:49:19.00,49.4408,50,44.1705
000:49:19.00,49.4399,50,44.1679
000:49:20.00,49.4393,50,44.1661
000:49:20.00,49.4385,50,44.1636
000:49:21.00,49.438,50,44.1618
000:49:21.00,49.4372,50,44.1593
000:49:22.00,49.4367,50,44.1576
000:49:22.00,49.436,50,44.1551
000:49:23.00,49.4355,50,44.1534
000:49:23.00,49.4348,50,44.151
000:49:24.00,49.4343,50,44.1493
000:49:24.00,49.4337,50,44.1469
000:49:25.00,49.4332,50,44.1453
000:49:25.00,49.4326,50,44.1429
000:49:26.00,49.4322,50,44.1413
000:49:26.00,49.4316,50,44.1389
000:49:27.00,49.4312,50,44.1373
000:49:27.00,49.4306,50,44.135
000:49:28.00,49.4302,50,44.1334
000:49:28.00,49.4297,50,44.1312
